trial, condition, presented_words, recalled_words
160,normal,"['X', 'L', 'V', 'B', 'Q', 'Y', 'M']","['X', 'L', 'V', 'Y', 'Q', 'B']"
161,normal,"['E', 'W', 'N', 'Y', 'C', 'V', 'A']","['E', 'N', 'W', 'Y', 'C', 'V', 'A']"
162,normal,"['F', 'D', 'C', 'X', 'S', 'E', 'N']","['F', 'D', 'C', 'E', 'X', 'N']"
163,normal,"['H', 'V', 'U', 'Y', 'D', 'Z', 'I']","['H', 'V', 'U', 'D', 'Z', 'I']"
164,normal,"['P', 'A', 'H', 'E', 'Q', 'V', 'C']","['P', 'A', 'H', 'E', 'Q', 'V', 'C']"
165,normal,"['X', 'H', 'T', 'V', 'L', 'Q', 'Z']","['X', 'H', 'V', 'L', 'Q', 'T', 'Z']"
166,normal,"['K', 'H', 'T', 'O', 'P', 'Q', 'N']","['K', 'H', 'T', 'O', 'P', 'E', 'N']"
167,normal,"['V', 'R', 'F', 'U', 'K', 'S', 'E']","['V', 'R', 'F', 'U', 'K', 'S', 'E']"
168,normal,"['U', 'R', 'E', 'H', 'G', 'Q', 'W']","['U', 'R', 'E', 'G', 'H', 'Q', 'R']"
169,normal,"['Z', 'Y', 'N', 'C', 'J', 'B', 'R']","['Z', 'W', 'Y', 'N', 'C', 'J', 'B']"
170,normal,"['C', 'X', 'L', 'F', 'U', 'G', 'S']","['C', 'X', 'L', 'F', 'U', 'C', 'K']"
171,normal,"['Q', 'G', 'D', 'P', 'Y', 'U', 'Z']","['Q', 'P', 'D', 'Z', 'W', 'Y', 'D']"
172,normal,"['G', 'Q', 'P', 'J', 'V', 'U', 'M']","['G', 'Q', 'W', 'J', 'M', 'P', 'C']"
173,normal,"['W', 'P', 'M', 'A', 'J', 'N', 'T']","['W', 'P', 'M', 'A', 'J', 'P', 'T']"
174,normal,"['C', 'F', 'B', 'S', 'Q', 'T', 'L']","['C', 'S', 'F', 'B', 'U', 'T', 'L']"
175,normal,"['X', 'N', 'I', 'H', 'D', 'O', 'P']","['X', 'N', 'I', 'H', 'D', 'N', 'O']"
176,normal,"['U', 'C', 'T', 'W', 'P', 'I', 'J']","['U', 'C', 'T', 'W', 'P', 'I', 'J']"
177,normal,"['H', 'D', 'K', 'U', 'E', 'A', 'M']","['H', 'D', 'K', 'U', 'E', 'A', 'M']"
178,normal,"['H', 'V', 'Q', 'P', 'O', 'Y', 'A']","['H', 'V', 'Q', 'P', 'O', 'V', 'I']"
179,normal,"['F', 'K', 'W', 'B', 'H', 'A', 'Q']","['F', 'K', 'W', 'B', 'H', 'A', 'Q']"
180,normal,"['J', 'Q', 'R', 'P', 'U', 'N', 'I']","['J', 'Q', 'R', 'P', 'U', 'N', 'I']"
181,tapping,"['R', 'E', 'H', 'A', 'P', 'T', 'C']","['R', 'E', 'H', 'A', 'P', 'T', 'C']"
182,tapping,"['B', 'O', 'A', 'S', 'V', 'X', 'K']","['B', 'O', 'A', 'S', 'V', 'X', 'K']"
183,tapping,"['P', 'G', 'S', 'E', 'W', 'F', 'J']","['P', 'G', 'S', 'E', 'W', 'F', 'J']"
184,tapping,"['M', 'V', 'F', 'J', 'N', 'D', 'T']","['M', 'C', 'F', 'J', 'D', 'T', 'N']"
185,tapping,"['S', 'X', 'L', 'V', 'W', 'A', 'M']","['S', 'X', 'L', 'V', 'W', 'A', 'M']"
186,tapping,"['W', 'M', 'R', 'H', 'X', 'P', 'S']","['W', 'M', 'R', 'X', 'H', 'R', 'C']"
187,tapping,"['A', 'K', 'N', 'S', 'J', 'W', 'D']","['A', 'K', 'N', 'S', 'J', 'W', 'D']"
188,tapping,"['W', 'G', 'H', 'N', 'V', 'S', 'K']","['W', 'G', 'H', 'S', 'V', 'N', 'S']"
189,tapping,"['M', 'A', 'S', 'Z', 'D', 'R', 'Y']","['M', 'A', 'S', 'Z', 'D', 'R', 'Y']"
190,tapping,"['B', 'X', 'S', 'I', 'R', 'E', 'U']","['B', 'X', 'S', 'I', 'R', 'E', 'U']"
191,tapping,"['K', 'H', 'M', 'V', 'O', 'A', 'E']","['K', 'H', 'M', 'V', 'O', 'A', 'E']"
192,tapping,"['W', 'V', 'I', 'H', 'L', 'O', 'R']","['W', 'V', 'H', 'I', 'R', 'O', 'R']"
193,tapping,"['X', 'M', 'K', 'U', 'A', 'J', 'E']","['X', 'M', 'K', 'U', 'A', 'J', 'N']"
